Expert_HugeMesh_Description,"Big mesh {0} used on {1} game object, this might significantly increase playable size, loading time, file size and ram usage.",Тяжелый меш {0} используется на {1} игровом объекте. Рекомендуем уменьшить точность хранения информации или количество вершин,在 {1} 游戏对象上使用大网格 {0}，这可能会显著增加输出文件的大小并占用过多内存
Expert_InvalidShaderVariant_Title,{0} has problems,Ошибка экспорта варианта шейдера {0},{0} 有问题
Expert_InvalidShaderVariant_Description,Check shader could be compiled for gles rendering platforms (#pragma only_renderers),"Проверьте шейдер. Убедитесь, что он может быть скомпилирован под GLES rendering платформы (#pragma only_renderers)",检查是否能为 GLES 渲染平台编译着色器 (#pragma only_renderers)
Expert_ManyMeshColliders_Title,Extensive use of mesh colliders,Частое использование меш коллайдеров,网格碰撞器的广泛使用
Expert_ManyMeshColliders_Description,"Usage of mesh colliders has a negative effect on performance. You can use primitive colliders instead, such as sphere or box colliders.","Использование меш коллайдеров негативно влияет на производительность.
При этом их можно заменить на примитивные коллайдеры.",网格碰撞器的使用对性能有负面影响。您可转而使用原始碰撞器。
Expert_LinearColorSpace_Title,Linear color space is not supported,Линейное цветовое пространство не поддерживается,不支持线性色彩空间
Expert_LinearColorSpace_Description,"Due to compatibility reasons, Unity Playworks Plugin is only able to use Gamma color space for rendering. Please click the auto fix button or do it manually: Edit → Project Settings → Player Settings → Other Settings → Rendering and set “Color Space” to “Gamma“.","Unity Playworks Plugin использует только цветовое пространство типа гамма для рендеринга. Пожалуйста, измените Player Settings.",由于兼容性原因，Unity Playworks Plugin 只能使用 Gamma 色彩空间进行渲染。请调整您的玩家设置。
Expert_MissingShaderVariants_Title,No Luna.shader variants asset found,Коллекция шейдер вариантов не найдена,找不到 Luna.shader 着色器变体资源
Expert_MissingShaderVariants_Description,No Assets/Luna.shader variants asset was found. This might bloat your build with excessive shader variants.,Не найдена коллекция шейдер вариантов по пути Assets/Luna.shader variants. Это может увеличить размер вашего билда из-за чрезмерных вариантов шейдеров.,找不到 Assets/Luna.shader 着色器变体资源。过量使用着色器变体可能导致您的构建大小显著增加。
Expert_NonPotTexture_Title,"Non-repeat wrap mode used on a texture with non power-of-two dimensions, this might not be rendered correctly.","Текстура с разрешением, не кратным 2, использует non-repeat wrap mode. Она будет отображаться некорректно.",在非二维幂的纹理贴图上使用非重复循环模式，可能会导致无法正确渲染。
Expert_NonPotTexture_Description,"Non-repeat wrap mode used on '{0}' texture at '{1}' with non power-of-two dimensions. Make sure the width and height are a power-of-two dimension. For example: 512x512, 256x512 or 128x1024.","Игровой объект «{1}» содержит текстуру «{0}» с разрешением, не кратным 2, которая использует non-repeat wrap mode. Она будет отображаться некорректно.",在 '{1}' 非二维幂的 '{0}' 纹理贴图上使用的非重复换行模式，可能无法正确渲染。
Expert_NullComponent_Title,There are missing components on {0}.,Есть недостающие компоненты на {0}.,{0} 上缺少组件。
Expert_NullComponent_Description,There are missing components on {0}.,Есть недостающие компоненты на {0}.,{0} 上缺少组件。
Expert_PlaygroundAssetValue_Title,Playground Asset has no default value,Playground ассеты не имеют значения по умолчанию,Playground 资源没有默认值
Expert_PlaygroundAssetValue_Description,[LunaPlaygroundAsset] Attribute added onto '{0}' field of '{1}' class must have a default value to appear in Playground.,"Поле, помеченное [LunaPlaygroundAsset] атрибутом, которое добавлено на «{0}» поле «{1}» класса, должно иметь значение по умолчанию, чтобы появиться в Playground.",[LunaPlaygroundAsset] 添加到 '{1}'类的 '{0}' 字段中的属性必须具有默认值，才能在 Playground 中显示。
Expert_ScaleOnCollider_Title,"Looks like a collider was scaled, this might affect performance.",Обнаружен масштабированный коллайдер,看起来碰撞器已进行缩放调整，这可能会影响性能
Expert_ScaleOnCollider_Description,"Looks like {0} collider on {1} game object was scaled, this might affect performance.","Масштаб {0} коллайдера на игровом объекте {1} был изменен, это негативно скажется на производительности.",看起来 {1} 游戏对象上的 {0} 碰撞器已进行缩放调整，这可能会影响性能
Expert_ShaderStripping_Title,Update shader stripping settings to include required shaders,Обновление параметров зачистки шейдера ,更新着色器剥离设置
Expert_ShaderStripping_Description,Please include all shaders required for fog / lightmapping data. Go to Edit → Project Settings → Graphics and scroll down do “Shader Stripping“. Set “Lightmap modes” and “fog modes” to custom and select each shader you use in your scene(s),"В некоторых сценах включен туман и / или запечен свет. Пожалуйста, измените «Shader stripping» активируйте настройку на постоянное включение необходимых шейдерных вариантов.",某些场景似乎启用了雾和/或光映射数据。请修改“着色器剥离”设置，以始终包含所需的着色器变体。
Expert_UnreadableTexture_Title,Unreadable texture.,Нечитаемые текстуры.,纹理贴图不可读。
Expert_UnreadableTexture_Description,Can't read '{0}' texture at '{1}'.,Не удается прочитать '{0}' текстуру на '{1}'.,无法读取 '{1}' 处的 '{0}' 纹理贴图。
Expert_TooManyVertices_Description,"65k mesh vertices limit exceeded for WebGL 1.0, which breaks the playable.","Превышен лимит для WebGL 1.0 в 65 тысяч вершин на меш, что ломает плеебл.","65k mesh vertices limit exceeded for WebGL 1.0, which breaks the playable."
Expert_TooManyVertices_Details,"The vertices has exceeded 65k on a mesh, which is not supported on WebGL 1.0. Please reduce the vertices of the mesh on the: {0} GameObject.","Вершины превышают лимит 65 тысяч на меш, что не поддерживается в WebGL 1.0. Пожалуйста, уменьшите количество вершин на меше: {0} GameObject.","The vertices has exceeded 65k on a mesh, which is not supported on WebGL 1.0. Please reduce the vertices of the mesh on the: {0} GameObject."
,,,
BuildStages_AssetsExporting,Assets exporting,Ассеты экспортируются,资源导出
BuildStages_AssetsBundling,Assets bundling,Упаковка ассетов,资源捆绑
BuildStages_CodeBundling,Code bundling,Сборка кода,代码捆绑
BuildStages_PackageBundling,Package bundling,Сборка пакета,包捆绑
BuildStages_PackageUploading,Package uploading,Загрузка пакета,包正在上传
BuildStages_PackageUploadedSuccessfully,Package uploaded successfully,Пакет успешно загружен,包上传成功
,,,
ProjectDiagnostics_Title,Project Diagnostics,Диагностика проекта,项目诊断
ProjectDiagnostics_LastBuild,Last Build,Последняя сборка,上一次构建
ProjectDiagnostics_BuildID,Build ID,Идентификатор сборки,构建 ID
ProjectDiagnostics_DevelopButton,Build Develop,Собрать Develop,构建 Develop 版本
ProjectDiagnostics_AssetsDiagnostics,Assets diagnostics,Диагностика ассетов,资源诊断
ProjectDiagnostics_CodeDiagnostics,Code diagnostics,Диагностика кода,代码诊断
ProjectDiagnostics_AssetsExport,Assets Export,Экспорт ассетов,资源导出
ProjectDiagnostics_AssetsProcessing,Assets Processing,Оптимизация ассетов,资源处理
ProjectDiagnostics_Scripts,Scripts,Код,脚本
ProjectDiagnostics_Package,Package,Пакет,包
ProjectDiagnostics_Severity_Critical,Errors preventing export of your playable,Критические ошибки экспорта,导致您的可试玩广告无法导出的错误
ProjectDiagnostics_Severity_HighImpact,Issues with high impact on performance and integrity,"Проблемы, влияющие на производительность",对性和完整性影响较大的问题
ProjectDiagnostics_Severity_Suggestions,Suggestions and optimisations,Предложения по оптимизации,建议和优化
ProjectDiagnostics_Filtered,Filtered,Скрыто,已过滤
ProjectDiagnostics_Details,Details,Подробности,详细信息
ProjectDiagnostics_FilePath,File path,Путь к файлу,文件路径
ProjectDiagnostics_CopyLog,Copy log,Копировать,复制日志
ProjectDiagnostics_ReportIssue,Report issue,Сообщить о проблеме,报告问题
ProjectDiagnostics_SelectLog,Select a log to view more details.,Открыть логи,选择条目以查看更多详细信息
ProjectDiagnostics_WarningCategory_CORE_FUNCTIONALITY,Core functionality,Главная функциональность,核心功能
ProjectDiagnostics_WarningCategory_AD_NETWORKS,Ad networks,Рекламные сети,广告网络
ProjectDiagnostics_WarningCategory_TECHNICAL_PERFORMANCE,Technical performance,Технические характеристики,技术性能
ProjectDiagnostics_WarningCategory_BEST_PRACTICES,Best practices,Лучшие практики,最佳实践
ProjectDiagnostics_ReportIssue_Title,Send log to Unity Playworks Plugin,Отправить лог в поддержку Unity Playworks Plugin,向 Unity Playworks Plugin 发送日志
ProjectDiagnostics_ReportIssue_TopBody,"You can send logs to us for review. If you wish to report an issue with your build that you believe is the result of a bug or problem with Unity Playworks Plugin.
","Если вы обнаружили проблемы, пришлите нам лог. Проанализировав его, мы сможем быстрее и эффективнее помочь вам, а также попробуем устранить саму проблему в Unity Playworks Plugin.",您可将日志发送给我们进行检阅。如果您希望报告因 Unity Playworks Plugin 故障造成的构建问题。
ProjectDiagnostics_ReportIssue_BottomBody,"Please provide information about what caused the issue, steps for reproduction and anything else that may help us:
","Укажите дополнительную информацию о проблеме: что предшествовало проблеме, шаги для воспроизведения или любую другую полезную информацию ",请提供导致问题发生相关的信息、问题复现的步骤，以及其他可能对我们有帮助的信息：
ProjectDiagnostics_ReportIssue_Close,Close,Закрыть,关闭
ProjectDiagnostics_ReportIssue_Submit,Submit,Отправить,提交
,,,
ProjectDiagnostics_Filter_Stages_AllStages,All stages,Все этапы,所有阶段
ProjectDiagnostics_Filter_Stages_Stage1,Stage 1,Этап экспорта 1,第 1 阶段
ProjectDiagnostics_Filter_Stages_Stage2,Stage 2,Этап экспорта 2,第 2 阶段
ProjectDiagnostics_Filter_Stages_Stage3,Stage 3,Этап экспорта 3,第 3 阶段
,,,
ProjectDiagnostics_Filter_ErrorTypes_AllErrortypes,All Error Types,Все типы ошибок,所有错误类型
ProjectDiagnostics_Filter_ErrorTypes_Uncategorized,Uncategorized,Без категории,未分类
ProjectDiagnostics_Filter_ErrorTypes_CompilationError,Compilation Error,Ошибка компиляции,编译错误
ProjectDiagnostics_Filter_ErrorTypes_ExportError,Export Error,Ошибка экспорта,导出错误
ProjectDiagnostics_Filter_ErrorTypes_Performance,Performance,Производительность,性能
ProjectDiagnostics_Filter_ErrorTypes_LunaSettings,Unity Playworks Plugin Settings,Настройки Unity Playworks Plugin,Unity Playworks Plugin 设置
ProjectDiagnostics_Filter_ErrorTypes_Rendering,Rendering,Отрисовка,渲染
ProjectDiagnostics_Filter_ErrorTypes_BuildSize,Build Size,Размер сборки,构建大小
ProjectDiagnostics_Filter_ErrorTypes_EngineBuild,Engine Build,Размер движка,引擎构建
,,,
ProjectDiagnostics_Filter_SubTypes_AllSubTypes,All Error Sub Types,Все подкатегории ошибок,所有错误子类型
ProjectDiagnostics_Filter_SubTypes_Uncategorized,Uncategorized,Без категории,未分类
ProjectDiagnostics_Filter_SubTypes_MissingApi,Missing Api,Отсутствующая API,缺少 API
ProjectDiagnostics_Filter_SubTypes_SyntaxError,Syntax Error,Синтаксическая ошибка,语法错误
ProjectDiagnostics_Filter_SubTypes_LunaInternalFailure,Unity Playworks Plugin Internal Failure,Внутренняя ошибка,Unity Playworks Plugin 内部故障
ProjectDiagnostics_Filter_SubTypes_DarkPatterns,Dark Patterns,Антипаттерн,深色图案
ProjectDiagnostics_Filter_SubTypes_AssetSize,Asset Size,Размер ассета,资源规模
ProjectDiagnostics_Filter_SubTypes_UISettings,Ui Settings,Настройки UI,Ui 设置
ProjectDiagnostics_Filter_SubTypes_BestPractises,Best Practices,Оптимальный подход,最佳做法
ProjectDiagnostics_Filter_SubTypes_RequiredPlayableAPI,Required Playable Api,Требования к плееблам,所需的 Playable API
ProjectDiagnostics_Filter_SubTypes_Shaders,Shaders,Шейдеры,着色器
ProjectDiagnostics_Filter_SubTypes_Assets,Assets,Ассеты,资源
ProjectDiagnostics_Filter_SubTypes_Textures,Textures,Текстуры,纹理贴图
ProjectDiagnostics_Filter_SubTypes_Sounds,Sounds,Звуки,音效
ProjectDiagnostics_Filter_SubTypes_Fonts,Fonts,Шрифты,字体
ProjectDiagnostics_Filter_SubTypes_Video,Video,Видео,视频
,,,
Popup_ProjectDiagnostics_Title,Build Failed,Ошибка сборки,构建失败
Popup_ProjectDiagnostics_Description,Cannot build for Creative Library due to critical issues found. Please check Project diagnostics to fix issues,"Найдены критические проблемы. Билд для Creative Library не буден собран. Пожалуйста, проверьте Диагностику проекта и исправьте проблемы",Cannot build for Creative Library due to critical issues found. Please check Project diagnostics to fix issues
Popup_ProjectDiagnostics_Ok,Open,Открыть,打开
Popup_ProjectDiagnostics_Cancel,Close,Закрыть,关闭
,,,
ProjectDiagnostics_LP_HugeMesh_Description,"Big mesh usage, this has a significant negative effect on Playable size and performance",Большой размер меша,大网格使用，这可能会显著增加输出文件的大小。
ProjectDiagnostics_LP_HugeMesh_Details,"Big mesh {0} used on {1} game object, this might significantly increase playable size, loading time, file size and ram usage.",Тяжелый меш {0} используется на {1} игровом объекте. Рекомендуем уменьшить точность хранения информации или количество вершин,在 {1} 游戏对象上使用大网格 {0}，这可能会显著增加输出文件的大小并占用过多内存
ProjectDiagnostics_LP_ShaderStripping_Description,Update shader stripping settings to include required shaders,Обновление параметров зачистки шейдера ,更新着色器去除设置
ProjectDiagnostics_LP_ShaderStripping_Details,Some of the scenes appear to have fog enabled and / or lightmapping data. Please modify 'Shader stripping' settings to always include required shader variants.,"В некоторых сценах включен туман и / или запечен свет. Пожалуйста, измените «Shader stripping» активируйте настройку на постоянное включение необходимых шейдерных вариантов.",某些场景似乎启用了雾和/或光映射数据。请修改“着色器去除”设置，以始终包含所需的着色器变量。
ProjectDiagnostics_LP_NonPotTexture_Description,"Non-repeat wrap mode used on a texture with non power-of-two dimensions, this might not be rendered correctly.","Текстура с разрешением, не кратным 2, использует non-repeat wrap mode. Она будет отображаться некорректно.",在非二维幂的纹理贴图上使用的非重复换行模式，可能无法正确渲染。
ProjectDiagnostics_LP_NonPotTexture_Details,"Non-repeat wrap mode used on '{0}' texture at '{1}' with non power-of-two dimensions. Make sure the width and height are a power-of-two dimension. For example: 512x512, 256x512 or 128x1024.","Игровой объект «{1}» содержит текстуру «{0}» с разрешением, не кратным 2, которая использует non-repeat wrap mode. Она будет отображаться некорректно.",在 '{1}' 非二维幂的 '{0}' 纹理贴图上使用的非重复换行模式，可能无法正确渲染。
ProjectDiagnostics_LP_DeferredRendering_Description,Deferred rendering is not supported,Отложенный рендеринг не поддерживается,不支持延迟渲染
ProjectDiagnostics_LP_DeferredRendering_Details,"Due to compatibility reasons, Unity Playworks Plugin is only able to use Forward rendering path. Please select the camera ‘{0}’ and set “Rendering Path“ to “Forward“.","Unity Playworks Plugin не поддерживает Deferred rendering path. Пожалуйста, измените Player Settings или переведите камеры «{0}» в режим Forward.",由于兼容性原因，Unity Playworks Plugin 只能使用正向渲染路径。请调整您的玩家设置，或强制相机 '{0}' 进入正向模式。
ProjectDiagnostics_LP_MissingShaderVariant_Description,Check shader could be compiled for gles rendering platforms (#pragma only_renderers),Коллекция шейдер вариантов не найдена,找不到 Luna.Shader 着色器变体资源
ProjectDiagnostics_LP_MissingShaderVariant_Details,This might bloat your build with excessive shader variants. Please go to the “Runtime Analysis“ tab and select “Shaders“ to view your shader stripping options.,Не найдена коллекция шейдер вариантов по пути Assets/Luna.shader variants. Это может увеличить размер вашего билда из-за чрезмерных вариантов шейдеров.,找不到 Assets/Luna.Shader 变体资源。过量使用着色器变体，可能导致您的构建大小显著增大。
ProjectDiagnostics_LP_InvalidShaderVariant_Description,Check shader could be compiled for gles rendering platforms (#pragma only_renderers),"Проверьте шейдер. Убедитесь, что он может быть скомпилирован под GLES rendering платформы (#pragma only_renderers)",检查是否能为 GLES 渲染平台编译着色器 (#pragma only_renderers)
ProjectDiagnostics_LP_InvalidShaderVariant_Details,Details:\n{0},Детали:\n{0},Details:\n{0}
ProjectDiagnostics_LP_LinearColorSpace_Description,Linear color space is not supported,Линейное цветовое пространство не поддерживается,不支持线性色彩空间
ProjectDiagnostics_LP_LinearColorSpace_Details,"Due to compatibility reasons, Unity Playworks Plugin is only able to use Gamma color space for rendering. Please click the auto fix button or do it manually: Edit → Project Settings → Player Settings → Other Settings → Rendering and set “Color Space” to “Gamma“.","Unity Playworks Plugin использует только цветовое пространство типа гамма для рендеринга. Пожалуйста, измените Player Settings.",由于兼容性原因，Unity Playworks Plugin 只能使用 Gamma 色彩空间进行渲染。请调整您的玩家设置。
ProjectDiagnostics_LP_ManyMeshCollider_Description,Extensive use of mesh colliders,Частое использование меш коллайдеров,网格碰撞器的广泛使用
ProjectDiagnostics_LP_ManyMeshCollider_Details,"Usage of mesh colliders has a negative effect on performance. You can use primitive colliders instead, such as sphere or box colliders.","Использование меш коллайдеров негативно влияет на производительность.
При этом их можно заменить на примитивные коллайдеры.",网格碰撞器的使用对性能有负面影响。您可转而使用原始碰撞器。
ProjectDiagnostics_LP_NullComponent_Description,There are missing components on {0}.,Есть недостающие компоненты на {0}.,{0} 上缺少组件。
ProjectDiagnostics_LP_NullComponent_Details,There are missing components on {0}.,Есть недостающие компоненты на {0}.,{0} 上缺少组件。
ProjectDiagnostics_LP_PlaygroundAssetValue_Description,Playground Asset has no default value,Playground ассеты не имеют значения по умолчанию,Playground 资源没有默认值
ProjectDiagnostics_LP_PlaygroundAssetValue_Details,[LunaPlaygroundAsset] Attribute added onto '{0}' field of '{1}' class must have a default value to appear in Playground.,"Поле, помеченное [LunaPlaygroundAsset] атрибутом, которое добавлено на «{0}» поле «{1}» класса, должно иметь значение по умолчанию, чтобы появиться в Playground.",添加到 '{1}'类的 '{0}' 字段中的 [LunaPlaygroundAsset] 属性必须具有默认值，才能在 Playground 中显示。
ProjectDiagnostics_LP_ScaleOnCollider_Description,"Looks like a collider was scaled, this might affect performance.",Обнаружен масштабированный коллайдер,看起来碰撞器已进行缩放调整，这可能会影响性能
ProjectDiagnostics_LP_ScaleOnCollider_Details,"Looks like {0} collider on {1} game object was scaled, this might affect performance.","Масштаб {0} коллайдера на игровом объекте {1} был изменен, это негативно скажется на производительности.",看起来 {1} 游戏对象上的 {0} 碰撞器已进行缩放调整，这可能会影响性能
ProjectDiagnostics_LP_UnreadableTexture_Description,Unreadable texture.,Нечитаемые текстуры.,纹理贴图不可读。
ProjectDiagnostics_LP_UnreadableTexture_Details,Can't read '{0}' texture at '{1}'.,Не удается прочитать '{0}' текстуру на '{1}'.,无法读取 '{1}' 处的 '{0}' 纹理贴图。
ProjectDiagnostics_LP_Export_Description,Asset export: {0},Экспорт ассета: {0},资源导出{0}
ProjectDiagnostics_LP_UnpackedSpriteAtlas_Description,Sprite Atlas not packed {0},"Спрайт атлас ""{0}"" не упакован",Sprite Atlas 未打包 {0}
ProjectDiagnostics_LP_UnpackedSpriteAtlas_Details,"Make sure 'Include in build' is toggled for related sprite, go to “Assets“ → “Assets“ → “Force include“ for atlases\nSprite: {0}\nAtlas: {1}\n{2}",Убедитесь что опция 'Include in Build' включена для родительского спрайт атласа.\nСпрайт: {0}\nАтлас: {1}\n{2},确保相关的 sprite atlases\nSprite: {0}\nAtlas: {1}\n{2} 选中了 “在构建中包含” 选项
ProjectDiagnostics_LP_Asset_Description,Asset Processing: {0},Обработка ассета: {0},资源处理：{0}
ProjectDiagnostics_LP_FailedToCombineGlyphs_Description,Couldn't create bitmap for the font {0},Ошибка создания текстуры шрифта,为字体创建位图失败 {0}
ProjectDiagnostics_LP_FailedToCombineGlyphs_Details,Failed to combine glyphs to {0}\nPlease check what's wrong by running: {1},Не удалось запечь текстуру для шрифта {0}.\nДополнительную информацию можно получить используя {1},未能将字形组合到 {0} 中\n 请运行以下命令检查错误情况：{1}
ProjectDiagnostics_LP_SoundCompression_Description,Sound compression failed,Ошибка компрессии аудиофайла,音效压缩失败
ProjectDiagnostics_LP_SoundCompression_Details,Failed to compress sound {0}\n{1},Не удалось обработать аудио клип {0}\n{1},压缩音效失败 {0}\n{1}
ProjectDiagnostics_LP_TextureCompression_Description,Texture compression failed,Ошибка компрессии текстуры,纹理贴图压缩失败
ProjectDiagnostics_LP_TextureCompression_Details,Failed to compress texture {0}\n{1},Не удалось обработать текстуру {0}\n{1},压缩纹理贴图失败 {0}\n{1}
ProjectDiagnostics_LP_CustomScript_Description,Asset Processing Failed,Ошибка обработки ассета,资源处理失败
ProjectDiagnostics_LP_CustomScript_Details,"Failed to process asset  {0}, Check custom script {1} attached to {2}\n{3}",Не удалось обработать ассет {0}. Проверьте специализированный скрипт {1} применяемый к {2}\n{3},处理资源失败 {0}，请检查附加到 {2} 的自定义脚本 {1}\n{3}
ProjectDiagnostics_LP_EngineBuild_Description,Engine build exception,Ошибка сборки,引擎构建异常
ProjectDiagnostics_LP_AssetManifest_Details,Asset Path: {0}\nJSON: {1},Путь к ассету: {0}\nJSON: {1},资源路径：{0}\nJSON: {1}
,,,
ProjectDiagnostics_OpenDocs,Open Documentation,Открыть документацию,打开文档
ProjectDiagnostics_BuildSuccessful,Build Successful,Сборка завершена успешно,构建成功
ProjectDiagnostics_BuildFailed,Build failed at,Сборка прервана на,构建失败位置
ProjectDiagnostics_ReportIssue_Success,Report sent successfully!,Отчет отправлен успешно!,报告发送成功！
,,,
ProjectDiagnostics_LP_TMPUnsupportedAtlasPopulationMode_Description,TMP Font Asset uses unsupported 'Atlas Population Mode',TMP Font Asset использует неподдерживаемый 'Atlas Population Mode',TMP Font Asset 使用了不支持的 'Atlas Population Mode'
ProjectDiagnostics_LP_TMPUnsupportedAtlasPopulationMode_Details,"TMP Font Asset '{0}' uses Atlas Population Mode '{1}' which is not supported. Click on the font asset, then in the inspector panel scroll to Generation Settings → Atlas Population Mode and change it from Dynamic to Static.",TMP Font Asset '{0}' использует Atlas Population Mode '{1}' который не поддерживается,TMP Font Asset '{0}' 使用了不支持的 Atlas Population Mode '{1}'
ProjectDiagnostics_LP_MSBuildVersion_Description,Invalid MSBuild version,Невалидная MSBuild версия,无效的 MSBuild 版本
ProjectDiagnostics_LP_MSBuildVersion_Details,MSBuild 15 or higher is required.\nMSBuild can be updated through the Visual Studio installer or here\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nCurrent path in use: '{0}',Требуется MSBuild версии 15 или выше.\nMSBuild может быть обновлен через Visual Studio установщик или по этой ссылке\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nТекущий путь: '{0}',需要 MSBuild 15 或更高版本\nMSBuild 可以从 Visual Studio Installer 更新或从这里下载\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\n现在使用的路径: '{0}'
ProjectDiagnostics_LP_MSBuildPath_Description,Invalid MSBuild path,Невалидный путь к MSBuild ,无效的 MSBuild 路径
ProjectDiagnostics_LP_MSBuildPath_Details,MSBuild failed to be invoked. Please make sure you have a proper path to MSBuild 15 or higher binary configured in Unity Playworks Plugin UI.\nMSBuild can also be installed through the visual studio installer or here\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nCurrent path in use: '{0}',"Не удалось вызвать MSBuild. Пожалуйста, убедитесь, что Вы указали верный путь к MSBuild в окне плагина.\nMSBuild может быть обновлен через Visual Studio установщик или по этой ссылке\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\nТекущий путь: '{0}'",MSBuild 调用失败。请确保在 Unity Playworks Plugin UI 中正确配置了 MSBuild 15 或更高版本的路径。\nMSBuild 可以从 Visual Studio Installer 更新或从这里下载\nhttps://visualstudio.microsoft.com/thank-you-downloading-visual-studio/?sku=BuildTools&rel=16\n现在使用的路径: '{0}'
ProjectDiagnsotics_LP_DotNetVersion_Description,Invalid .Net version,Невалидная версия .Net,无效的 .Net 版本
ProjectDiagnostics_LP_DotNetVersion_Details,.Net 4.7 or higher is required. Please make sure .Net 4.7 is installed\nhttps://docs.lunalabs.io/docs/playable/setup/dependencies/#install-net-47,"Необходима .Net 4.7 или выше. Пожалуйста, убедитесь, что .Net 4.7 установлена\nhttps://docs.lunalabs.io/docs/playable/setup/dependencies/#install-net-47",需要 .Net 4.7 或更高版本。请确保已安装 .Net 4.7\nhttps://docs.lunalabs.io/docs/playable/setup/dependencies/#install-net-47
ProjectDiagnostics_LP_HugeRamUsage_Description,Playable has high RAM usage.,Плеебл использует много RAM,可玩广告使用了大量的内存
ProjectDiagnostics_LP_HugeRamUsage_Details,Maximum RAM usage must be lower than recommended usage - {0} MB. Current value is {1} MB. Otherwise this will prevent the playable to support older devices.,Максимальное значение RAM должно быть ниже рекомендуемого значения - {0} МБ. Текущее значение {1} МБ. Иначе это не позволит поддерживать плеебл на старых устройствах,最大内存必须小于推荐值 - {0} MB。目前值 {1} MB。超出会导致可玩广告无法在旧设备上运行。
ProjectDiagnostics_LP_ManyFacebookFiles_Description,Too many files for facebook platform in use,Слишком много файлов для facebook платформы,"文件数量超出 Facebook 平台限制
"
ProjectDiagnostics_LP_ManyFacebookFiles_Details,Too many files for Facebook platform in use ({0}) only {1} available. Decrease textures by making a Texture Atlas to use a single texture for multiple assets,"Слишком много файлов для facebook платформы ({0}), {1} допустимый максимум. Уменьшите число используемых текстур или видео, чтобы оставаться в пределах допустимого",文件数量超出 Facebook 平台限制 ({0})，上限为 {1}。 请减少贴图或视频文件。
ProjectDiagnostics_LP_ManyShaderVariants_Description,Extensive use of shader variants,Использование большого количества шейдер вариантов,过量使用着色器变体
ProjectDiagnostics_LP_ManyShaderVariants_Details,Extensive usage of shader variants negatively affects playable startup time. Please consider them to be less than {0} ({1} found). Check Runtime analysis -> Shaders tab to see used shaders,"Использование большого количества шейдер вариантов приводит к долгим загрузкам креатива. Пожалуйста, постарайтесь уменьшить их количество до {0} ({1} найдено). Перейдите на вкладку Анализ код -> Шейдеры, чтобы увидеть их",过量使用着色器变体会大幅增加载入时间。请确保总数少于  {0} (检测到 {1})。请在 运行时分析 -> 着色器 中检查正在使用的着色器。
ProjectDiagnostics_LP_AvatarAnimation_Description,"Avatar animation found, which is not supported in Unity Playworks Plugin. Please bake the animation instead as a workaround. See our docs for more information","Avatar animation found, which is not supported in Unity Playworks Plugin. Please bake the animation instead as a workaround. See our docs for more information",检测到 Unity Playworks Plugin 不支持的 Avatar 动画。请对动画进行烘焙。详情见我们的文档
ProjectDiagnostics_LP_CharacterController_Description,Use of unsupported Character Controller detected,Use of unsupported Character Controller detected,检测到不支持的 Character Controller
ProjectDiagnostics_LP_CharacterController_Details,Not all features of the Character Controller are implemented yet. This can result into unexpected behaviour! Please work around this feature instead.,Not all features of the Character Controller are implemented yet. This can result into unexpected behaviour! Please work around this feature instead.,Character Controller 仅有部分功能是支持的。这可能会导致未知错误。请换一种方式实现相关的功能。
ProjectDiagnostics_LP_SyntaxTransformer_Description,Syntax conversion error - some C# features may not be available,Ошибка транформации синтаксиса - некоторые функции C# могут быть недоступны,语法转换错误 - 某些 C# 功能可能不可用
Advanced_Tools_Msbuild_Warning,"The MSBuild path is either invalid, or the msbuild version is incompatible, Please make sure you have a proper path to MSBuild 15 or above configured in Unity Playworks Plugin UI. Click here to install MSBuild 15","Путь к MSBuild невалиден или выбранная версия несовместима. Пожалуйста, убедитесь, что Вы указали верный путь к MSBuild версии 15 или выше в окне плагина. Нажмите сюда, чтобы установить MSBuild 15 версии.",MSBuild 路径无效或版本不兼容，请确保在 Unity Playworks Plugin UI 中正确配置了 MSBuild 15 或以上版本的路径。点击这里安装 MSBuild 15
,,,
PlaygroundSection_Applications,Available Applications,Доступные Applications,可选应用
PlaygroundSection_Creatives,Available Concepts,Доступные Концепты,可选创意
PlaygroundSection_CreativeName,Concept Name,Имя Концепта,创意名称
PlaygroundSection_NewCreativeTitle,< New Concept >,< Новый Концепт >,< 新创意 >
PlaygroundSection_EmptyNameWarning,Please fill in the Concept name,"Пожалуйста, заполните имя Концепта",请输入创意名称
Popup_RuntimeAnalysisReady_Title,Runtime Analysis,Анализ кода,运行时分析
